Model,Architecture,Accuracy,Precision,Recall,F1_Score,Macro_Precision,Macro_Recall,Macro_F1_Score
Logistic Regression,TF-IDF + Logistic Regression,0.9,0.9016832901942908,0.9,0.8987183977371563,0.9097009869329,0.912486291050438,0.9089860614178038
LSTM,Embedding + LSTM + Dense,0.5578947368421052,0.5883655732291687,0.5578947368421052,0.5472833734952649,0.578985498363595,0.5543253240923709,0.5397163340340575
LSTM + Attention,Embedding + LSTM + Simple Attention + Dense,0.7447368421052631,0.7617188048002381,0.7447368421052631,0.7445221419710454,0.7709340224985726,0.7429084891045927,0.7483596540573214
